date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:51:08	94019/94019	---M--	200	added ('OK')	application/javascript	date:Mon,%2007%20Sep%202015%2022:24:19%20GMT	http://jessandruss.us/js/libs/jquery-1.7.0.min.js	C:/My%20Web%20Sites/TestStory/TestStory/jessandruss.us/js/libs/jquery-1.7.0.min.js	(from http://jessandruss.us/)
13:51:17	86783/86783	---M--	200	added ('OK')	image/png	etag:639cc370c943fd66e6816359d7575b3a	http://c15117992.r92.cf2.rackcdn.com/1.png	C:/My%20Web%20Sites/TestStory/TestStory/c15117992.r92.cf2.rackcdn.com/1.png	(from http://jessandruss.us/css/style-mobile.css)
13:51:21	77209/77209	---M--	200	added ('OK')	image/jpeg	etag:c05207070d0d7a9ac0b27c5adfc6663d	http://c15117992.r92.cf2.rackcdn.com/7.jpg	C:/My%20Web%20Sites/TestStory/TestStory/c15117992.r92.cf2.rackcdn.com/7.jpg	(from http://jessandruss.us/css/style-mobile.css)
13:51:27	122736/122736	---M--	200	added ('OK')	image/jpeg	etag:19bd5564c52116fe0813cec0fb85bbe7	http://c15117992.r92.cf2.rackcdn.com/5.jpg	C:/My%20Web%20Sites/TestStory/TestStory/c15117992.r92.cf2.rackcdn.com/5.jpg	(from http://jessandruss.us/css/style-mobile.css)
13:51:27	148645/148645	---M--	200	added ('OK')	image/jpeg	etag:0f1b90a3959819bea3f365aa622c3827	http://c15117992.r92.cf2.rackcdn.com/3.jpg	C:/My%20Web%20Sites/TestStory/TestStory/c15117992.r92.cf2.rackcdn.com/3.jpg	(from http://jessandruss.us/css/style-mobile.css)
13:51:34	104173/104173	---M--	200	added ('OK')	image/jpeg	etag:ba79d1250d30d9f8e35f1deb99b9fee3	http://c15117992.r92.cf2.rackcdn.com/9.jpg	C:/My%20Web%20Sites/TestStory/TestStory/c15117992.r92.cf2.rackcdn.com/9.jpg	(from http://jessandruss.us/css/style-mobile.css)
13:51:39	110057/110057	---M--	200	added ('OK')	image/jpeg	etag:2218e7441050f225c62deb0c5e058e78	http://c15117992.r92.cf2.rackcdn.com/11.jpg	C:/My%20Web%20Sites/TestStory/TestStory/c15117992.r92.cf2.rackcdn.com/11.jpg	(from http://jessandruss.us/css/style-mobile.css)
13:51:47	119009/119009	---M--	200	added ('OK')	image/jpeg	etag:64e0326e1b13cacb23f4802c6dfefd58	http://c15117992.r92.cf2.rackcdn.com/15.jpg	C:/My%20Web%20Sites/TestStory/TestStory/c15117992.r92.cf2.rackcdn.com/15.jpg	(from http://jessandruss.us/css/style-mobile.css)
13:51:58	150835/150835	---M--	200	added ('OK')	image/jpeg	etag:8719032510cd66e7cddae3433ad2df15	http://c15117992.r92.cf2.rackcdn.com/17.jpg	C:/My%20Web%20Sites/TestStory/TestStory/c15117992.r92.cf2.rackcdn.com/17.jpg	(from http://jessandruss.us/css/style-mobile.css)
13:51:58	71930/71930	---M--	200	added ('OK')	image/jpeg	etag:beb5ae2e56cbf40f329aefb00e0a89e0	http://c15117992.r92.cf2.rackcdn.com/21.jpg	C:/My%20Web%20Sites/TestStory/TestStory/c15117992.r92.cf2.rackcdn.com/21.jpg	(from http://jessandruss.us/css/style-mobile.css)
13:52:01	210574/210574	---M--	200	added ('OK')	image/jpeg	etag:48ed0fb56678eee89c0d9fb1cd3e7b0c	http://c15117992.r92.cf2.rackcdn.com/13.jpg	C:/My%20Web%20Sites/TestStory/TestStory/c15117992.r92.cf2.rackcdn.com/13.jpg	(from http://jessandruss.us/css/style-mobile.css)
13:52:07	51276/51276	---M--	200	added ('OK')	image/jpeg	etag:dcd2f08e765d892ea99ab13aa9d9b5b4	http://c15117992.r92.cf2.rackcdn.com/25.jpg	C:/My%20Web%20Sites/TestStory/TestStory/c15117992.r92.cf2.rackcdn.com/25.jpg	(from http://jessandruss.us/css/style-mobile.css)
13:52:15	88899/88899	---M--	200	added ('OK')	image/png	etag:d0482b4e14d57633e1d08f688e930c37	http://c15117992.r92.cf2.rackcdn.com/27.png	C:/My%20Web%20Sites/TestStory/TestStory/c15117992.r92.cf2.rackcdn.com/27.png	(from http://jessandruss.us/css/style-mobile.css)
13:52:22	270957/270957	---M--	200	added ('OK')	image/jpeg	etag:2fb748708b6981f825966967c967cfd5	http://c15117992.r92.cf2.rackcdn.com/19.jpg	C:/My%20Web%20Sites/TestStory/TestStory/c15117992.r92.cf2.rackcdn.com/19.jpg	(from http://jessandruss.us/css/style-mobile.css)
13:52:46	293407/293407	---M--	200	added ('OK')	image/jpeg	etag:8cec6f3238681735f7d9b6eae4c3237d	http://c15117992.r92.cf2.rackcdn.com/23.jpg	C:/My%20Web%20Sites/TestStory/TestStory/c15117992.r92.cf2.rackcdn.com/23.jpg	(from http://jessandruss.us/css/style-mobile.css)
13:52:46	2085/2085	---M--	200	added ('OK')	image/png	etag:15604ff0f8c2a4ca1194e7f7706aeaf7	http://c15117992.r92.cf2.rackcdn.com/story-top.png	C:/My%20Web%20Sites/TestStory/TestStory/c15117992.r92.cf2.rackcdn.com/story-top.png	(from http://jessandruss.us/css/style-desktop.css)
13:52:47	2095/2095	---M--	200	added ('OK')	image/png	etag:35d49512651b828c6d81577bdd37398a	http://c15117992.r92.cf2.rackcdn.com/story-bottom.png	C:/My%20Web%20Sites/TestStory/TestStory/c15117992.r92.cf2.rackcdn.com/story-bottom.png	(from http://jessandruss.us/css/style-desktop.css)
13:52:47	972/972	---M--	200	added ('OK')	image/png	etag:493e1a72b97d5b79c76744a6cc8e66e6	http://c15117992.r92.cf2.rackcdn.com/frame-top.png	C:/My%20Web%20Sites/TestStory/TestStory/c15117992.r92.cf2.rackcdn.com/frame-top.png	(from http://jessandruss.us/css/style-desktop.css)
13:52:48	991/991	---M--	200	added ('OK')	image/png	etag:dee8354691844f7cfb749d9a786ad412	http://c15117992.r92.cf2.rackcdn.com/frame-bottom.png	C:/My%20Web%20Sites/TestStory/TestStory/c15117992.r92.cf2.rackcdn.com/frame-bottom.png	(from http://jessandruss.us/css/style-desktop.css)
13:52:48	253016/253016	---M--	200	added ('OK')	image/jpeg	etag:551a03b2c1feef5637cced0e5270d314	http://c15117992.r92.cf2.rackcdn.com/29.jpg	C:/My%20Web%20Sites/TestStory/TestStory/c15117992.r92.cf2.rackcdn.com/29.jpg	(from http://jessandruss.us/css/style-mobile.css)
13:52:48	956/956	---M--	200	added ('OK')	image/png	etag:c204449128d59f92af01cf64a0b773a6	http://c15117992.r92.cf2.rackcdn.com/frame-rep.png	C:/My%20Web%20Sites/TestStory/TestStory/c15117992.r92.cf2.rackcdn.com/frame-rep.png	(from http://jessandruss.us/css/style-desktop.css)
13:52:55	207021/207021	---M--	200	added ('OK')	image/jpeg	etag:04434c6d25ca5383be54902bc30203ab	http://c15117992.r92.cf2.rackcdn.com/33.jpg	C:/My%20Web%20Sites/TestStory/TestStory/c15117992.r92.cf2.rackcdn.com/33.jpg	(from http://jessandruss.us/css/style-mobile.css)
13:52:57	259810/259810	---M--	200	added ('OK')	image/jpeg	etag:97dfc1d6a37b7600983066edc7dd4846	http://c15117992.r92.cf2.rackcdn.com/31.jpg	C:/My%20Web%20Sites/TestStory/TestStory/c15117992.r92.cf2.rackcdn.com/31.jpg	(from http://jessandruss.us/css/style-mobile.css)
13:52:58	60737/60737	---M--	200	added ('OK')	image/png	etag:ea0ef1269df927a1f36d0c07530b9c63	http://c15117992.r92.cf2.rackcdn.com/1b.png	C:/My%20Web%20Sites/TestStory/TestStory/c15117992.r92.cf2.rackcdn.com/1b.png	(from http://jessandruss.us/css/style-desktop.css)
13:53:00	20265/20265	---M--	200	added ('OK')	image/png	etag:e819fc745eb746f2e3c2a4dd72cb0a24	http://c15117992.r92.cf2.rackcdn.com/3c.png	C:/My%20Web%20Sites/TestStory/TestStory/c15117992.r92.cf2.rackcdn.com/3c.png	(from http://jessandruss.us/css/style-desktop.css)
13:53:03	46956/46956	---M--	200	added ('OK')	image/png	etag:25926529fd27f688c8da8061aab6af5c	http://c15117992.r92.cf2.rackcdn.com/3b.png	C:/My%20Web%20Sites/TestStory/TestStory/c15117992.r92.cf2.rackcdn.com/3b.png	(from http://jessandruss.us/css/style-desktop.css)
13:53:10	62108/62108	---M--	200	added ('OK')	image/jpeg	etag:3b674e620e82dc77cbfe95268a8e24c6	http://c15117992.r92.cf2.rackcdn.com/5a.jpg	C:/My%20Web%20Sites/TestStory/TestStory/c15117992.r92.cf2.rackcdn.com/5a.jpg	(from http://jessandruss.us/css/style-desktop.css)
